Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
Data Scientist I,$73K - $137K (Glassdoor est.),"The position is described below. If you want to apply, click the Apply button at the top or bottom of this page. You'll be required to create an account or sign in to an existing one.
Need Help?
If you have a disability and need assistance with the application, you can request a reasonable accommodation. Send an email to Accessibility or call 877-891-2510 (accommodation requests only; other inquiries won't receive a response).
Regular or Temporary:
Regular
1st shift (United States of America)",3.6,"Truist Financial
3.6","Atlanta, GA",10000+ Employees,2019,Company - Public,Investment Banking & Asset Management,Finance,Unknown / Non-Applicable
Data Scientist,$98K - $193K (Glassdoor est.),"About Datadog:
We're on a mission to build the best platform in the world for engineers to understand and scale their systems, applications, and teams. We operate at high scale—trillions of data points per day—allowing for seamless collaboration and problem-solving among Dev, Ops and Security teams globally for tens of thousands of companies. Our engineering culture values pragmatism, honesty, and simplicity to solve hard problems the right way.

Our Team:
We are building out a first-class Internal Analytics department composed of Data Engineers, Software Engineers, Data Analysts, and Data Scientists. If you’re excited to work on a fast-moving team using cutting-edge open-source technologies to collect, store, transform, analyze, and model data, we want to meet you.",4.1,"DataDog
4.1","New York, NY",1001 to 5000 Employees,2010,Company - Public,Computer Hardware & Software,Information Technology,$100 to $500 million (USD)
Data Scientist I,-1,"No one makes cross-channel TV advertising as simple, transparent, or effective as Simulmedia. We're revolutionizing advertising by bringing best-in-class data, science, software and services to TV, streaming, and video games. We’re the only demand-side platform that delivers unparalleled reach, results, and measurement wherever audiences watch, stream, or play. For over a decade, we have helped marketers, agencies, publishers and studios build awareness, inspire action, and find untapped viewers across channels. And we’re just getting started.
The Opportunity
Asa* Data Scientist I,* you will work closely with other Scientists, Product Managers and Engineers to deliver best in class scientific models and algorithms deployed at scale. You will be part of a team building Simulmedia’s cross-channel TV product, and enabling the company to continue its growth in an exciting and dynamic market. You will spend lots of time doing exploratory data analysis, as well as collaborating with teammates to deliver top-notch forecasting models and optimization algorithms.",-1,Simulmedia,"New York, NY",-1,-1,-1,-1,-1,-1
"Data Scientist I, Product Analytics",$99K - $178K (Glassdoor est.),"The Analytics team powers data-informed decision-making at Tinder. We are looking to add a creative Data Scientist to our growing Analytics team. As a Data Scientist I on the Analytics team, you will partner with Product, Marketing, Engineering, and Finance to improve our outstanding platform.

You will use comprehensive datasets to develop experiments, understand metrics, develop automated reports, and generate exploratory insights to guide our business solutions. You will collaborate with other members of our team to surface important insights - exploratory analysis, experiment results, collaborations with other teams (consumer insights/strategy/etc) - to our partner teams and across the company. These insights influence both the performance of our business and the experience of our members.",3.8,"Tinder
3.8","San Francisco, CA",201 to 500 Employees,2012,Company - Public,Internet,Information Technology,Unknown / Non-Applicable
Data Scientist,$96K - $173K (Glassdoor est.),"The Team:

The Role:
We are looking for an experienced data scientist to join our team. You will work alongside engineers, product managers, sales managers and data scientists from across the organization to tackle complex business problems. You will be responsible for using our extensive data sources to provide both rapid solutions to urgent business questions as well as building products that serve internal/external clients. You'll be encouraged to use the right tool for the job and connect with a variety of partners.",4.1,"Bloomberg
4.1","New York, NY",10000+ Employees,1981,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable
Data Scientist,$78K - $170K (Glassdoor est.),"Description - Internal
Our Story
Xandr is a technology platform powering one of the largest global Advanced TV and Video advertising marketplaces in the industry. We scale our business as WarnerMedia people who independently build the Xandr platform and brand. For more than a decade, our data insights, premium content, powerful technology, and scaled direct-to-consumer distribution have given us a competitive edge — leading us to improving advertising for all brands, publishers, and consumers.

How do we do this? With talented, passionate people like you! We bring together people from diverse backgrounds and give them an opportunity to bring their ideas to life. Join our community to Make Advertising Better!",3.7,"AT&T
3.7","New York, NY",10000+ Employees,1983,Company - Public,Telecommunications Services,Telecommunications,$10+ billion (USD)
Data & Applied Scientist,$94K - $182K (Glassdoor est.),"Join us as we work towards Microsoft’s mission of empowering every person and every organization on the planet to achieve more. The Modern Life Experiences (MLX) team is expanding its global footprint and we need your help in bringing consumer products directly to the people who need them. We are agile team at Microsoft with the goal of developing consumer features for the modern workforce across surfaces and platforms. We work collaboratively and iterate quickly. We keep alive an inherently startup-like, risk-taking culture but we also take the responsibility seriously to carry one of the world's most recognizable software brand names - Microsoft. Our mission is to build customer-driven experiences that transform personal data into personal value and empower modern achievers and families to accomplish what matters most. By creating easy-to-use mobile and web experiences, we are helping individuals and families gain peace of mind, to ultimately allow them to focus on what’s most important: each other.

We are looking for a Data and Applied Scientist who is just as passionate about applying statistics and machine learning to understanding our customers behavior to shape product roadmaps as you are using statistical and machine learning techniques to create user facing AI features. You’ll sit right at the junction of product, marketing, and engineering to help us understand our users and create intelligent features. You need to be ok working across the whole ML life cycle. This is a great opportunity to apply statistical, more advanced data science techniques and engineering to contribute to our product growth and visible impact on our business and users",4.4,"Microsoft
4.4","San Francisco, CA",10000+ Employees,1975,Company - Public,Computer Hardware & Software,Information Technology,$10+ billion (USD)
"Data Scientist , Modeling & Optimization",$91K - $186K (Glassdoor est.),"Master’s degree (or Bachelors degree or 5+ years of experience) in a quantitative discipline such as Statistics, Mathematics, Data Science, Business Analytics, Economics, Finance, Engineering, or Computer Science
2+ years of experience working as a data scientist or a similar role involving data extraction, analysis, statistical modeling, and communication
2+ years of experience using data querying languages (e.g. SQL, Hadoop/Hive)
Masters in Operations Research, Industrial Engineering, Applied Mathematics, or related quantitative discipline.
Deep understanding of optimization, simulation, and general data science techniques.
Experience in developing machine-learning algorithms, statistical and mathematical optimization models, and simulation and visualization tools.
Familiarity with managing disparate data sets; including, building and maintaining data flows and pipelines.
Job summary
Does the thought of improving one of the world’s most complex logistic systems inspire you? Is your passion to sift through hundreds of systems, processes, and data sources to solve the puzzle and identify the next big opportunity? Are you a creative big thinker who is passionate about using data and optimization tools to direct decision making and solve complex and large-scale challenges? Are you fascinated by the interactions between operations and strategy? Do you feel like your skills uniquely qualify you to bridge communication between teams with competing priorities? If so, then this position is for you! Amazon's Modeling and Optimization team (MOP) is looking for a motivated individual with strong analytic and communication skills to join the effort in evolving the network we have today into the network we need tomorrow.

Amazon’s extensive logistics system is comprised of thousands of fixed infrastructure nodes, with millions of possible connections between them. Billions of packages flow through this network on a yearly basis, making the impact of optimal improvements unparalleled. This magnificent challenge is a terrific opportunity to analyze Amazon’s data and generate actionable recommendations using optimization and simulation. Come build with us!

In this role, your main focus will be to perform analysis, synthesize information, identify business opportunities, provide project direction, and communicate business and technical requirements within the team and across stakeholder groups. You consider the needs of day-to-day operations and insist on the standards required to build the network of tomorrow. Your job will straddle day-to-day decisions and strategic vision, you will assist in defining trade-offs and quantifying opportunities for a variety of projects. You will learn current processes, build metrics, educate diverse stakeholder groups, assist science groups in initial solution design, and audit all model implementation. A successful candidate in this position will have a background in communicating across significant differences, prioritizing competing requests, and quantifying decisions made.

The ideal candidate will demonstrate a deep understanding of identifying meaningful key performance indicators and building actionable metrics. This candidate is passionate about providing insights that drive larger initiatives and sees the undeniable value of a good metric. They are excited to be part of, and learn from, a large science community and are ready to dig into the details to find insights that direct decisions. The successful candidate will have good communication skills and an ability to speak at a level appropriate for the audience, will collaborate effectively with scientists, software development engineers, product managers, and hands on operators and will deliver business value in close partnership with many stakeholders from operations, finance, IT, research, and business leadership.

Amazon is committed to a diverse and inclusive workplace. Amazon is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, protected veteran status, disability, age, or other legally protected status. For individuals with disabilities who would like to request an accommodation, please visit https://www.amazon.jobs/en/disability/us.",3.8,"Amazon.com Services LLC
3.8","Bellevue, WA",10000+ Employees,1994,Company - Public,Internet,Information Technology,$10+ billion (USD)
"Data Scientist, Creator Business Analysis",$108K - $208K (Glassdoor est.),"Data, Research & Insights
Data Science
The Marketplace team builds Spotify's content platform and creator products. Our content platform ingests, understands, and safeguards the world's audio. Our creator products - Spotify for Artists, Soundtrap, and SoundBetter - enable artists and their teams to create music and connect with collaborators, in an effort to grow and monetize their audiences.
Location
New York or Remote Americas
Job type
Permanent
As one of the teams within Marketplace, Creator Business Analysis partners closely with R&D. We are responsible for ensuring our teams build the highest value products to deliver back towards the music industry. We do this by evaluating new and emerging business ideas, business models and pricing strategies. As a Data Scientist on our team, you will help analyze economic, product and business problems using analytics. You will tackle complex problems in order to develop a behavioral understanding of customer needs, as well as to forecast and predict the value that our tools deliver. In doing so, you will have a lasting impact on bringing Spotify’s marketplace vision to life.",4.1,"Spotify
4.1","New York, NY",5001 to 10000 Employees,2006,Company - Public,Internet,Information Technology,Unknown / Non-Applicable
Data Scientist - US Cards,$90K - $171K (Glassdoor est.),"The US Consumer Analytics (USCA) Decision Science Team develops statistical tools and tool-driven optimization strategies for NA Cards and Retail Bank marketing programs in order to increase Customer Centricity, aiming to increase customer satisfaction and revenue growth. Within USCA, the Acquisition (ACQ) modeling team builds and manages predictive analytics solutions for cards and retail bank account acquisition improvements.

Responsibilities:
Serve as data science expert to support US cards acquisition optimization and strategy analyses
Deliver incremental business benefits through advanced statistical and machine learning modeling for consumer behaviors
Translate data into consumer or customer behavioral insights to drive targeting and segmentation strategies, and communicate clearly and effectively to business partners and senior leaders all findings



Decision Management
Specialized Analytics (Data Science/Computational Statistics)
Full time",3.9,"Citi
3.9","New York, NY",10000+ Employees,1812,Company - Public,Investment Banking & Asset Management,Finance,$10+ billion (USD)
Data Scientist I,$73K - $137K (Glassdoor est.),"The position is described below. If you want to apply, click the Apply button at the top or bottom of this page. You'll be required to create an account or sign in to an existing one.
Need Help?
If you have a disability and need assistance with the application, you can request a reasonable accommodation. Send an email to Accessibility or call 877-891-2510 (accommodation requests only; other inquiries won't receive a response).
Regular or Temporary:
Regular
1st shift (United States of America)",3.6,"Truist Financial
3.6","Atlanta, GA",10000+ Employees,2019,Company - Public,Investment Banking & Asset Management,Finance,Unknown / Non-Applicable
Data Science Manager - Ecosystem,$82K - $183K (Glassdoor est.),"People love Discord because it connects them with people they care about - friends, family, and communities with common interests. To empower people to build genuine relationships and create belonging in their lives, Discord must provide a world-class experience across the many aspects of the service, from the trust &amp; safety of our users to quality of service &amp; application performance.&nbsp; At Discord, we believe Safety enables belonging. The Safety organization at Discord serves our community, moderators, and internal Discord teams - all with a goal of making Discord a safe place where people can find belonging. Discord is looking for a highly technical, hands-on, and mission-driven manager to to join and lead our Safety Data Science team. In this role, you will leverage your experience leading a world-class team to partner directly with our Safety organization (operating cross-functionally across Product, Engineering, Operations, Policy, and Data Platform) in order to set a vision for how data science can make Discord a safer place - by improving the efficacy and usage of our anti-abuse platform, deepening our quantitative understanding of safety, and driving strategic cross-functional decisions. This role reports directly into our Head of Ecosystems &amp; Servers Data Science. You Will: Partner closely with product, engineering, and business teams to understand feature adoption, proactively identify opportunities for improvement, and build robust scalable tools to empower decision-making at all levels of the company Create novel and interpretable metrics to provide insight into the health of the Discord app and use analytics, modeling, and experimentation to understand their impact on business goals&nbsp; Transform data into information - establish hypotheses, dig deep, and seek to understand root causes - to improve the effectiveness of our marketing efforts&nbsp; Own the vision and roadmap for the Safety Data Science team, supporting a key pillar of Discord's mission&nbsp; Build and mentor a world-class analytics team, expanding the impact of data at Discord&nbsp; In partnership with our Data leaders, inform architectural decisions, establish best practices, develop lean scalable processes, and contribute to the overall direction of the Data organization at Discord! You Have (not hard qualifications - if you're not sure, please apply!): 3+ years of leadership experience as a people manager, leading a team of 3+ data scientists. Ideally, your team would have had technical expertise covering at least two of the following: BI &amp; analytics, machine learning, and A/B experimentation&nbsp; Excellent skills in communicating to both technical and non-technical audiences, with an ability to explain complex concepts in easy-to-understand ways 6+ years of industry experience in applying machine learning and/or analytics techniques to answer vague and challenging business problems&nbsp; Proficient in Python/R or SQL (any dialect) for hands-on modeling and/or analysis Familiarity with A/B testing principles&nbsp; A collaborative attitude and natural curiosity&nbsp; Bonus Points: Experience with social media and/or safety aspects within digital consumer products Proficient in modern BI tooling (Chartio, Looker, Tableau, etc.), with an eye towards clear, rich visualizations and performance Experience with very large data sets and distributed computing Familiarity with Airflow, GCP, BigQuery Experience partnering with business teams in a data-driven culture Passion for Discord or online communities&nbsp; Our Benefits: Comprehensive medical insurance including Health, Dental, and Vision (Plus up to $20,000 for gender affirmation procedures) Mental health resources and quarterly wellness stipends 19+ paid holidays, 4 weeks of PTO, use-what-you-need sick days and volunteer time off Paid parental leave (plus fertility, adoption and other family planning benefits) Generous stipends for headphones, your remote work setup, and lunch on a daily basis (while we're all remote) Flexible long-term work options (remote and hybrid) A diverse slate of Employee Resource Groups Plus commuter contributions and other perks for office-based employees&nbsp; About Us Discord is a voice, video and text app that helps friends and communities come together to hang out and explore their interests — from artists and activists, to study groups, sneakerheads, plant parents, and more. With 150 million monthly users across 19 million active communities, called servers, Discord has grown to become one of the most popular communications services in the world. Discord was built without selling ads or user data and instead, offers a premium subscription called Nitro that gives users special perks like higher quality streams and fun customizations. In a world of polarization, social curation, and loneliness, Discord is working toward an inclusive world where no one feels like an outsider. We believe in the value of genuine human connection, which can so easily be lost online. So we’re building a space where everyone can find belonging from the inside out. If this strikes a chord with you, come build belonging with us! #LI-GB1",4.6,"Discord
4.6","San Francisco, CA",51 to 200 Employees,2015,Company - Private,Internet,Information Technology,$1 to $5 million (USD)
Junior Data Scientist,$58K - $112K (Glassdoor est.),"The Automotive Analytics team at IHS Markit is looking for a Junior Data Scientist who will support our initiatives to generate actionable insights and build new products from our rich internal data sets. The ideal candidate should have critical thinking skills, a quantitative background and strong experience exploring data sets, a high competency using a variety of analytics tools to build machine learning models. They must have a proven ability to drive business results with data-driven insights and should be comfortable working with a wide range of stakeholders and functional teams.
Responsibilities:
Work with stakeholders throughout the organization to build proof of concepts for new business solutions.
Efficiently explore new data sources and assess data gathering techniques.",4.1,"IHS Markit
4.1","Southfield, MI",10000+ Employees,2016,Company - Public,Consulting,Business Services,$2 to $5 billion (USD)
